"V2" "V1" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "Name" "POP"
"49" "004.inner-eurasia" "STA" -0.00334347 -0.014497 -0.0028954 -0.00414283 0.000549848 0.00253828 -0.00218122 0.0151564 -0.00102068 0.00973963 0.0115133 0.0101313 0.00340146 -0.0109788 0.00527227 0.00626747 -0.00491402 -0.00885417 -6.6244e-05 -0.0105309 "STA" "Tatars"
"50" "004.inner-eurasia" "STA" -0.00334347 -0.014497 -0.0028954 -0.00414283 0.000549848 0.00253828 -0.00218122 0.0151564 -0.00102068 0.00973963 0.0115133 0.0101313 0.00340146 -0.0109788 0.00527227 0.00626747 -0.00491402 -0.00885417 -6.6244e-05 -0.0105309 "TUV" "Tuvans"
"51" "004.inner-eurasia" "STA" -0.00334347 -0.014497 -0.0028954 -0.00414283 0.000549848 0.00253828 -0.00218122 0.0151564 -0.00102068 0.00973963 0.0115133 0.0101313 0.00340146 -0.0109788 0.00527227 0.00626747 -0.00491402 -0.00885417 -6.6244e-05 -0.0105309 "Rps" "Russians"
"52" "004.inner-eurasia" "TUV" -0.0143558 -0.030276 0.00468001 0.00561802 -0.0102706 0.00620198 0.00605077 -0.00651453 0.0035644 -0.0230302 0.00174589 0.00914393 -0.0147842 0.00172103 0.0162868 -0.0132442 -0.00564233 -0.00512582 0.0120411 -0.00455252 "UDM" "Udmurts"
"53" "004.inner-eurasia" "TUV" -0.0143558 -0.030276 0.00468001 0.00561802 -0.0102706 0.00620198 0.00605077 -0.00651453 0.0035644 -0.0230302 0.00174589 0.00914393 -0.0147842 0.00172103 0.0162868 -0.0132442 -0.00564233 -0.00512582 0.0120411 -0.00455252 "STA" "Tatars"
"54" "004.inner-eurasia" "TUV" -0.0143558 -0.030276 0.00468001 0.00561802 -0.0102706 0.00620198 0.00605077 -0.00651453 0.0035644 -0.0230302 0.00174589 0.00914393 -0.0147842 0.00172103 0.0162868 -0.0132442 -0.00564233 -0.00512582 0.0120411 -0.00455252 "TUV" "Tuvans"
"55" "004.inner-eurasia" "TUV" -0.0143558 -0.030276 0.00468001 0.00561802 -0.0102706 0.00620198 0.00605077 -0.00651453 0.0035644 -0.0230302 0.00174589 0.00914393 -0.0147842 0.00172103 0.0162868 -0.0132442 -0.00564233 -0.00512582 0.0120411 -0.00455252 "Rps" "Russians"
"56" "004.inner-eurasia" "UDM" 0.00221558 -0.00836172 -0.0149974 -0.0193056 0.00676409 0.0238061 0.00313482 0.0353451 0.00341079 0.0462333 -0.0166212 0.0232531 0.0107311 -0.00744982 0.00951727 0.00685098 -0.0194854 0.00871518 -0.0160367 0.0338807 "UDM" "Udmurts"
"57" "004.inner-eurasia" "UDM" 0.00221558 -0.00836172 -0.0149974 -0.0193056 0.00676409 0.0238061 0.00313482 0.0353451 0.00341079 0.0462333 -0.0166212 0.0232531 0.0107311 -0.00744982 0.00951727 0.00685098 -0.0194854 0.00871518 -0.0160367 0.0338807 "STA" "Tatars"
"58" "004.inner-eurasia" "UDM" 0.00221558 -0.00836172 -0.0149974 -0.0193056 0.00676409 0.0238061 0.00313482 0.0353451 0.00341079 0.0462333 -0.0166212 0.0232531 0.0107311 -0.00744982 0.00951727 0.00685098 -0.0194854 0.00871518 -0.0160367 0.0338807 "TUV" "Tuvans"
"59" "004.inner-eurasia" "UDM" 0.00221558 -0.00836172 -0.0149974 -0.0193056 0.00676409 0.0238061 0.00313482 0.0353451 0.00341079 0.0462333 -0.0166212 0.0232531 0.0107311 -0.00744982 0.00951727 0.00685098 -0.0194854 0.00871518 -0.0160367 0.0338807 "Rps" "Russians"
"60" "004.inner-eurasia" "Rps" 0.0104168 0.00348766 -0.0220239 -0.00598493 -0.00816432 -0.0104266 -0.0137057 -0.00445069 0.0195945 -0.00288864 0.000503789 0.00853559 0.0069958 0.00498599 0.000265425 0.00374583 -0.000961152 -0.00390413 0.00268491 -0.00479644 "UDM" "Udmurts"
"61" "004.inner-eurasia" "Rps" 0.0104168 0.00348766 -0.0220239 -0.00598493 -0.00816432 -0.0104266 -0.0137057 -0.00445069 0.0195945 -0.00288864 0.000503789 0.00853559 0.0069958 0.00498599 0.000265425 0.00374583 -0.000961152 -0.00390413 0.00268491 -0.00479644 "STA" "Tatars"
"62" "004.inner-eurasia" "Rps" 0.0104168 0.00348766 -0.0220239 -0.00598493 -0.00816432 -0.0104266 -0.0137057 -0.00445069 0.0195945 -0.00288864 0.000503789 0.00853559 0.0069958 0.00498599 0.000265425 0.00374583 -0.000961152 -0.00390413 0.00268491 -0.00479644 "TUV" "Tuvans"
"63" "004.inner-eurasia" "Rps" 0.0104168 0.00348766 -0.0220239 -0.00598493 -0.00816432 -0.0104266 -0.0137057 -0.00445069 0.0195945 -0.00288864 0.000503789 0.00853559 0.0069958 0.00498599 0.000265425 0.00374583 -0.000961152 -0.00390413 0.00268491 -0.00479644 "Rps" "Russians"
