ID POP
Yemenese1529_Yemenese1529.lazaridis-2014 Arabs
Jordan384_Jordan384.lazaridis-2014 Arabs
HGDP00701_HGDP00701.hgdp Arabs
Algerian43A13_Algerian43A13.lazaridis-2014 Arabs
Algerian43A22_Algerian43A22.lazaridis-2014 Arabs
HGDP00641_HGDP00641.hgdp Arabs
syria2_syria2.jew Arabs
syria298_syria298.jew Arabs
syria3_syria3.jew Arabs
syria361_syria361.jew Arabs
syria4_syria4.jew Arabs
syria461_syria461.jew Arabs
syria464_syria464.jew Arabs
syria485_syria485.jew Arabs
syria5_syria5.jew Arabs
syria520_syria520.jew Arabs
syria6_syria6.jew Arabs
syria10_syria10.jew Arabs
syria7_syria7.jew Arabs
syria9_syria9.jew Arabs
Yemen1_Yemen1.jew Arabs
Yemen10_Yemen10.jew Arabs
Yemen2_Yemen2.jew Arabs
Yemen3_Yemen3.jew Arabs
Yemen4_Yemen4.jew Arabs
Yemen5_Yemen5.jew Arabs
Yemen6_Yemen6.jew Arabs
Yemen7_Yemen7.jew Arabs
Yemen8_Yemen8.jew Arabs
Yemen9_Yemen9.jew Arabs
syria8_syria8.jew Arabs
syria1_syria1.jew Arabs
SaudiA9_SaudiA9.jew Arabs
SaudiA8_SaudiA8.jew Arabs
Algerian43A23_Algerian43A23.lazaridis-2014 Arabs
Algerian43A24_Algerian43A24.lazaridis-2014 Arabs
Algerian43A32_Algerian43A32.lazaridis-2014 Arabs
Algerian43A34_Algerian43A34.lazaridis-2014 Arabs
moroccoC61_moroccoC61.jew Arabs
moroccoE21_moroccoE21.jew Arabs
moroccoE28_moroccoE28.jew Arabs
saudi1403_saudi1403.jew Arabs
saudi1411_saudi1411.jew Arabs
saudi1413_saudi1413.jew Arabs
saudi1424_saudi1424.jew Arabs
saudi1426_saudi1426.jew Arabs
saudi1428b_saudi1428b.jew Arabs
saudi1430_saudi1430.jew Arabs
saudi1432_saudi1432.jew Arabs
saudi1434_saudi1434.jew Arabs
saudi1436_saudi1436.jew Arabs
SaudiA1_SaudiA1.jew Arabs
SaudiA10_SaudiA10.jew Arabs
SaudiA2_SaudiA2.jew Arabs
SaudiA3_SaudiA3.jew Arabs
SaudiA4_SaudiA4.jew Arabs
SaudiA5_SaudiA5.jew Arabs
SaudiA6_SaudiA6.jew Arabs
SaudiA7_SaudiA7.jew Arabs
Algerian43A21_Algerian43A21.lazaridis-2014 Arabs
HGDP00640_HGDP00640.hgdp Arabs
HGDP00636_HGDP00636.hgdp Arabs
HGDP00638_HGDP00638.hgdp Arabs
HGDP00571_HGDP00571.hgdp Arabs
HGDP00572_HGDP00572.hgdp Arabs
HGDP00573_HGDP00573.hgdp Arabs
HGDP00574_HGDP00574.hgdp Arabs
HGDP00575_HGDP00575.hgdp Arabs
HGDP00576_HGDP00576.hgdp Arabs
HGDP00577_HGDP00577.hgdp Arabs
HGDP00578_HGDP00578.hgdp Arabs
HGDP00579_HGDP00579.hgdp Arabs
HGDP00580_HGDP00580.hgdp Arabs
HGDP00581_HGDP00581.hgdp Arabs
HGDP00570_HGDP00570.hgdp Arabs
HGDP00582_HGDP00582.hgdp Arabs
HGDP00584_HGDP00584.hgdp Arabs
HGDP00585_HGDP00585.hgdp Arabs
HGDP00586_HGDP00586.hgdp Arabs
HGDP00587_HGDP00587.hgdp Arabs
HGDP00588_HGDP00588.hgdp Arabs
HGDP00590_HGDP00590.hgdp Arabs
HGDP00591_HGDP00591.hgdp Arabs
HGDP00592_HGDP00592.hgdp Arabs
HGDP00594_HGDP00594.hgdp Arabs
HGDP00595_HGDP00595.hgdp Arabs
HGDP00597_HGDP00597.hgdp Arabs
HGDP00583_HGDP00583.hgdp Arabs
HGDP00598_HGDP00598.hgdp Arabs
HGDP00569_HGDP00569.hgdp Arabs
HGDP00567_HGDP00567.hgdp Arabs
Jordan214_Jordan214.jew Arabs
Jordan305_Jordan305.jew Arabs
Jordan307_Jordan307.jew Arabs
Jordan382_Jordan382.jew Arabs
Jordan384_Jordan384.jew Arabs
Jordan387_Jordan387.jew Arabs
Jordan426_Jordan426.jew Arabs
Jordan444_Jordan444.jew Arabs
Jordan445_Jordan445.jew Arabs
Jordan485_Jordan485.jew Arabs
Jordan502_Jordan502.jew Arabs
HGDP00568_HGDP00568.hgdp Arabs
Jordan503_Jordan503.jew Arabs
Jordan546_Jordan546.jew Arabs
HGDP00557_HGDP00557.hgdp Arabs
HGDP00558_HGDP00558.hgdp Arabs
HGDP00559_HGDP00559.hgdp Arabs
HGDP00560_HGDP00560.hgdp Arabs
HGDP00561_HGDP00561.hgdp Arabs
HGDP00562_HGDP00562.hgdp Arabs
HGDP00563_HGDP00563.hgdp Arabs
HGDP00564_HGDP00564.hgdp Arabs
HGDP00565_HGDP00565.hgdp Arabs
HGDP00566_HGDP00566.hgdp Arabs
Jordan543_Jordan543.jew Arabs
HGDP00599_HGDP00599.hgdp Arabs
HGDP00600_HGDP00600.hgdp Arabs
HGDP00601_HGDP00601.hgdp Arabs
HGDP00632_HGDP00632.hgdp Arabs
HGDP00633_HGDP00633.hgdp Arabs
